"route_id","bus_stop_id","route_order"
1,1000,1
1,1001,2
1,1002,3
1,1003,4
1,1004,5
1,1005,6
1,1006,7
1,1007,8
1,1008,9
1,1009,10
1,1010,11
1,1011,12
1,1012,13
1,1013,14
1,1014,15
1,1015,16
1,1016,17
1,1017,18
1,1018,19
1,1019,20
1,1020,21
1,1021,22
1,1022,23
1,1023,24
1,1024,25
1,1025,26
1,1026,27
1,1027,28
1,1028,29
1,1029,30
1,1030,31
1,1031,32
1,1032,33
1,1033,34
1,1034,35
1,1035,36
1,1036,37
2,1037,1
2,1038,2
2,1039,3
2,1040,4
2,1041,5
2,1042,6
2,1043,7
2,1044,8
2,1045,9
2,1046,10
2,1047,11
2,1048,12
2,1049,13
2,1050,14
2,1051,15
2,1052,16
2,1053,17
2,1054,18
2,1055,19
2,1056,20
2,1057,21
2,1058,22
2,1059,23
2,1060,24
2,1061,25
2,1062,26
2,1063,27
2,1064,28
2,1065,29
2,1066,30
2,1067,31
2,1068,32
2,1069,33
2,1070,34
2,1071,35
3,1201,1
3,1202,2
3,1203,3
3,1204,4
3,1205,5
3,1206,6
4,1301,1
4,1302,2
4,1303,3
4,1304,4
5,1200,15
5,1201,1
5,1203,4
5,1207,2
5,1208,3
5,1209,5
5,1210,6
5,1211,7
5,1212,8
5,1213,9
5,1214,10
5,1215,11
5,1216,12
5,1217,13
5,1218,14
