index,time_start,time_end
0,05:10:00 AM,05:40:00 AM
1,05:40:00 AM,06:10:00 AM
2,06:10:00 AM,06:40:00 AM
3,06:40:00 AM,07:10:00 AM
4,07:10:00 AM,07:40:00 AM
5,07:40:00 AM,08:10:00 AM
6,08:10:00 AM,08:40:00 AM
7,08:40:00 AM,09:10:00 AM
8,09:10:00 AM,09:40:00 AM
9,09:40:00 AM,10:10:00 AM
10,10:10:00 AM,10:40:00 AM
11,10:40:00 AM,11:10:00 AM
12,11:10:00 AM,11:40:00 AM
13,11:40:00 AM,12:10:00 PM
14,12:10:00 PM,12:40:00 PM
15,12:40:00 PM,01:10:00 PM
16,01:10:00 PM,01:40:00 PM
17,01:40:00 PM,02:10:00 PM
18,02:10:00 PM,02:40:00 PM
19,02:40:00 PM,03:10:00 PM
20,03:10:00 PM,03:40:00 PM
21,03:40:00 PM,04:10:00 PM
22,04:10:00 PM,04:40:00 PM
23,04:40:00 PM,05:10:00 PM
24,05:10:00 PM,05:40:00 PM
25,05:40:00 PM,06:10:00 PM
26,06:10:00 PM,06:40:00 PM
27,06:40:00 PM,07:10:00 PM
28,07:10:00 PM,07:40:00 PM
29,07:40:00 PM,08:10:00 PM
30,08:10:00 PM,08:40:00 PM
31,08:40:00 PM,09:10:00 PM
32,09:10:00 PM,09:40:00 PM
33,09:40:00 PM,10:10:00 PM
34,10:10:00 PM,10:40:00 PM
35,10:40:00 PM,11:10:00 PM
36,11:10:00 PM,11:40:00 PM
37,11:40:00 PM,12:10:00 AM
38,12:10:00 AM,12:40:00 AM
39,12:40:00 AM,01:10:00 AM
40,01:10:00 AM,01:40:00 AM
41,01:40:00 AM,02:10:00 AM
42,02:10:00 AM,02:40:00 AM
43,02:40:00 AM,03:10:00 AM
44,03:10:00 AM,03:40:00 AM
45,03:40:00 AM,04:10:00 AM
46,04:10:00 AM,04:40:00 AM
47,04:40:00 AM,05:10:00 AM
